ts_key,smape,category
CITROEN_C4_Diesel,150.54156733498132,>40%
CITROEN_C4_Electric_BEV,88.3032490192401,>40%
CITROEN_C4_Hybrid,96.74480233831734,>40%
CITROEN_C4_Petrol,132.05051269271334,>40%
CITROEN_C4_Total,53.727661043140614,>40%
CITROEN_C5_Diesel,76.34923778639259,>40%
CITROEN_C5_Electric_BEV,66.66666666666666,>40%
CITROEN_C5_Hybrid,39.02334553938407,30-40%
CITROEN_C5_Petrol,169.19339897323036,>40%
CITROEN_C5_Total,17.31771207537857,10-20%
CITROEN_JUMPER_All_Wheel_Drive,162.35956914540466,>40%
CITROEN_JUMPER_Diesel,28.57207942649565,20-30%
CITROEN_JUMPER_Petrol,164.30187303705236,>40%
CITROEN_JUMPER_Total,27.29703693138133,20-30%
CITROEN_JUMPY_All_Wheel_Drive,61.34233950227572,>40%
CITROEN_JUMPY_Diesel,55.59727170511617,>40%
CITROEN_JUMPY_Electric_BEV,161.5192350772898,>40%
CITROEN_JUMPY_Petrol,133.33333333333331,>40%
CITROEN_JUMPY_Total,55.94287128843435,>40%
CITROEN_SONSTIGE_Diesel,200.0,>40%
CITROEN_SONSTIGE_Total,200.0,>40%
DACIA_DUSTER_All_Wheel_Drive,28.060395459840343,20-30%
DACIA_DUSTER_Diesel,196.15377011233443,>40%
DACIA_DUSTER_Hybrid,19.81078291879891,10-20%
DACIA_DUSTER_Petrol,76.07808966213648,>40%
DACIA_DUSTER_Total,20.01189415496517,20-30%
DACIA_JOGGER_Hybrid,33.31398554741048,30-40%
DACIA_JOGGER_Petrol,28.917216662050254,20-30%
DACIA_JOGGER_Total,24.496730926060817,20-30%
DACIA_LOGAN_Petrol,106.06259334867285,>40%
DACIA_LOGAN_Total,163.87448971705447,>40%
DACIA_SANDERO_All_Wheel_Drive,66.66666666666666,>40%
DACIA_SANDERO_Petrol,21.37279580859874,20-30%
DACIA_SANDERO_Total,20.084356373113454,20-30%
DACIA_SONSTIGE_Hybrid,100.0,>40%
DACIA_SONSTIGE_Petrol,100.0,>40%
DACIA_SONSTIGE_Total,100.0,>40%
DACIA_SPRING_Electric_BEV,49.078521902619684,>40%
DACIA_SPRING_Total,46.91572767309663,>40%
FERRARI_296_Convertibles,131.89443375763256,>40%
FERRARI_296_Hybrid,84.14474805432832,>40%
FERRARI_296_Petrol,66.66666666666666,>40%
FERRARI_296_Total,90.20076988322812,>40%
FERRARI_PUROSANGUE_All_Wheel_Drive,39.08294784678188,30-40%
FERRARI_PUROSANGUE_Petrol,29.726821786114055,20-30%
FERRARI_PUROSANGUE_Total,106.94548238417482,>40%
FERRARI_ROMA_Convertibles,136.27881682492676,>40%
FERRARI_ROMA_Petrol,146.36185348949496,>40%
FERRARI_ROMA_Total,132.6343178703999,>40%
FERRARI_SF90_All_Wheel_Drive,136.6315353084697,>40%
FERRARI_SF90_Convertibles,144.20232493223784,>40%
FERRARI_SF90_Hybrid,140.4319071293657,>40%
FERRARI_SF90_Petrol,59.53749693581803,>40%
FERRARI_SF90_Total,59.782045706925544,>40%
FERRARI_SONSTIGE_Convertibles,117.61963578296582,>40%
FERRARI_SONSTIGE_Hybrid,66.66666666666666,>40%
FERRARI_SONSTIGE_Petrol,189.53553074752935,>40%
FERRARI_SONSTIGE_Total,107.94874367038861,>40%
FIAT_500_Electric_BEV,67.24611627744649,>40%
FIAT_500_Hybrid,197.71657617875763,>40%
FIAT_500_Petrol,190.99719751968246,>40%
FIAT_500_Total,112.28105378489406,>40%
FIAT_600_Electric_BEV,43.841236738205,>40%
FIAT_600_Hybrid,22.48719104589521,20-30%
FIAT_600_Petrol,66.66666666666666,>40%
FIAT_600_Total,29.040993700266764,20-30%
FIAT_DOBLO_Diesel,200.0,>40%
FIAT_DOBLO_Electric_BEV,100.0,>40%
FIAT_DOBLO_Petrol,0.0,<10%
FIAT_DOBLO_Total,200.0,>40%
FIAT_DUCATO_All_Wheel_Drive,139.55891053428377,>40%
FIAT_DUCATO_Diesel,40.39101127914448,>40%
FIAT_DUCATO_Electric_BEV,66.66666666666666,>40%
FIAT_DUCATO_Petrol,149.73018713735888,>40%
FIAT_DUCATO_Total,43.06530277512056,>40%
FIAT_PANDA_Electric_BEV,133.33333333333331,>40%
FIAT_PANDA_Hybrid,52.850193508828056,>40%
FIAT_PANDA_Total,57.67451071133325,>40%
FIAT_TIPO_Diesel,117.08326080308333,>40%
FIAT_TIPO_Hybrid,133.33333333333331,>40%
FIAT_TIPO_Total,100.64705688348027,>40%
FIAT_ULYSSE_All_Wheel_Drive,66.66666666666666,>40%
FIAT_ULYSSE_Diesel,129.87818084529147,>40%
FIAT_ULYSSE_Electric_BEV,133.33333333333331,>40%
FIAT_ULYSSE_Petrol,66.66666666666666,>40%
FIAT_ULYSSE_Total,128.47008629956568,>40%
FISKER_OCEAN_All_Wheel_Drive,133.33333333333331,>40%
FISKER_OCEAN_Electric_BEV,66.66666666666666,>40%
FISKER_OCEAN_Total,133.33333333333331,>40%
FORD_EXPLORER_All_Wheel_Drive,32.43968787658946,30-40%
FORD_EXPLORER_Electric_BEV,55.485668115985106,>40%
FORD_EXPLORER_Hybrid,173.27186414750716,>40%
FORD_EXPLORER_Petrol,133.33333333333331,>40%
FORD_EXPLORER_Total,49.941457626255186,>40%
FORD_FIESTA_Hybrid,0.0,<10%
FORD_FIESTA_Petrol,172.08232892913074,>40%
FORD_FIESTA_Total,180.551348323568,>40%
FORD_FOCUS_Diesel,8.176338007678547,<10%
FORD_FOCUS_Hybrid,22.0051102286236,20-30%
FORD_FOCUS_Petrol,61.52593315403549,>40%
FORD_FOCUS_Total,16.70694022284843,10-20%
FORD_KUGA_All_Wheel_Drive,36.61965364306208,30-40%
FORD_KUGA_Diesel,173.49246744155457,>40%
